gene,id,z
PIP4P2,6314,-2.935114
FUOM,9466,-2.931716
ADGRF5,9344,-2.931347
NKAIN1,7298,-2.931025
CDCA5,8395,-2.930515
C8orf76,8049,-2.92962
HAGHL,7871,-2.928706
FAM98A,5094,-2.924532
SYT9,8869,-2.920232
ATG4B,4757,-2.918109
GNG13,5845,-2.917448
RNF24,4521,-2.917409
STXBP5L,3673,-2.916977
NRXN1,3607,-2.916559
ZDHHC2,5649,-2.911548
MYLK,1751,-2.91114
ALAS1,96,-2.910261
RNF182,9354,-2.907884
BAALC,7436,-2.907684
HDGF,1215,-2.907681
RBMS3,5336,-2.898408
DOCK11,8832,-2.898165
YIPF5,7644,-2.898115
PTP4A1,3082,-2.896351
CHST7,6547,-2.895284
KIAA1024,4789,-2.893111
LANCL1,4091,-2.892974
AHCYL2,4859,-2.891992
BRCA1,297,-2.891107
ATG5,3652,-2.888321
PCSK1,1958,-2.879465
SFTA1P,9289,-2.874032
GJA4,1054,-2.873984
ARHGAP26,4711,-2.8731
NUAK1,3872,-2.872991
CXCL12,2529,-2.872684
RNF220,6195,-2.87167
TUBA1B,4115,-2.871398
PRR3,7596,-2.868128
RTKN2,9305,-2.866161
NTM,5545,-2.865976
GEMIN7,7393,-2.865099
VIP,2980,-2.864858
EIF2S2,3407,-2.86476
HHAT,6404,-2.86451
NWD1,9528,-2.861966
SNX8,5448,-2.861834
LGI1,3529,-2.856558
PNKD,5102,-2.855533
CNEP1R1,9426,-2.855413
GRAMD4,4735,-2.854311
RFK,6261,-2.851813
ST6GALNAC5,7691,-2.851616
BCL11B,7139,-2.846853
MED12L,8534,-2.845901
TSPAN31,2505,-2.841591
C12orf10,6939,-2.841457
ROBO4,5954,-2.840689
PARD6A,5541,-2.840565
DIRAS2,6001,-2.839824
FBXO33,9398,-2.838681
PAX6,1939,-2.838547
TPM3,2882,-2.838534
FSTL5,6572,-2.836568
SGPL1,3399,-2.835045
NAXE,8697,-2.835018
SAT2,8379,-2.834396
TIE1,2830,-2.834238
PHLDA1,4577,-2.833867
CRLF1,3543,-2.833476
SNX11,5462,-2.833461
ZFY,3015,-2.832
CCSER1,9839,-2.830071
TDRD7,4885,-2.829629
GYG2,3415,-2.827821
HSD17B4,1291,-2.826489
SLC25A13,4014,-2.826111
PPP2CA,2137,-2.825435
E2F3,764,-2.824983
DNAJB1,1307,-2.823682
NIPA1,8616,-2.823616
TIMM8A,691,-2.822019
MIGA1,9724,-2.821236
LRRTM4,7503,-2.818658
SLC41A1,9402,-2.817723
COL23A1,8242,-2.816863
ALDOC,107,-2.813502
C11orf24,5875,-2.813104
KEAP1,3833,-2.811985
PTPN9,2270,-2.810281
MRPL4,5580,-2.808406
EIF1AD,7885,-2.806659
ARHGAP4,174,-2.803749
LAPTM4B,6287,-2.798161
MYO15A,5634,-2.796699
PPP1CC,2130,-2.794839
C11orf87,9822,-2.792925
DGCR5,5192,-2.792525
SLC39A8,7018,-2.792109
ADPRHL1,8410,-2.790217
LOC284454,9530,-2.789933
KLK5,5043,-2.789191
SH3PXD2B,9566,-2.788071
CNN3,540,-2.787599
SYT4,2738,-2.786919
TLDC1,6859,-2.786164
PDLIM7,3552,-2.784722
KLHL25,7066,-2.783882
ANKFY1,5757,-2.780388
TMEM81,9784,-2.777582
CAT,377,-2.775699
RABEP1,3504,-2.772326
NME7,5465,-2.769102
TPP1,525,-2.769049
NDUFB2,1785,-2.767891
FSIP1,9109,-2.766514
PRELP,2155,-2.764627
ZNF630,6702,-2.762584
SLC45A4,6692,-2.762326
CHAF1A,3939,-2.760498
LIMA1,5754,-2.75964
ITGA1,1405,-2.755593
ZNF641,8586,-2.754169
TNNI3,2866,-2.751108
MRO,7774,-2.749411
RAP1A,2333,-2.748769
FOXL2,294,-2.747532
PQLC1,7517,-2.740019
EIF4G3,3314,-2.739437
BCL6,265,-2.739235
APOL3,7618,-2.738871
PREP,2156,-2.73836
MCTP2,6428,-2.738271
ATP1B1,209,-2.738071
AFAP1L1,8784,-2.737917
TMEM151A,9436,-2.737199
ZNF536,3796,-2.735231
ZSWIM6,6848,-2.732699
MT1G,1713,-2.728788
FZD10,4507,-2.725831
TMEM56,8953,-2.724212
ACSS3,7318,-2.723735
ZNF254,3687,-2.716397
SNX5,5293,-2.714773
RBMS1,2357,-2.713341
STYXL1,5809,-2.711966
PPFIBP2,3226,-2.711897
FBXO9,5204,-2.711747
MPI,1695,-2.711574
ANO7,5530,-2.704839
PTPRS,2288,-2.703435
DLG2,706,-2.702292
PARP8,7353,-2.697793
